row_order,subgroup,category,required_percent,minimum_bout_minutes,n,difference_hours,se_hours,df,lower_95,upper_95,p_value,mean_sedentary_hours,primary_n,primary_days,bmi_missing,policy,primary_days_md5
3,Sex,Female,90,30,4843,0.4014483576673702,0.008630354200383649,32,0.3838689014307378,0.41902781390400257,5.83610848775961e-31,10.158517693920148,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
3,Sex,Female,90,45,4843,0.7210361866493219,0.01565383454648797,32,0.689150369108573,0.7529220041900708,7.955104519497999e-31,10.47810552290209,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
3,Sex,Female,90,60,4843,0.997963634161093,0.01956421273996886,32,0.9581126368925035,1.0378146314296826,3.169995393751642e-32,10.75503297041389,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
4,Age,18-34,70,20,2643,-0.22933236154675524,0.006321165503158307,32,-0.24220815432966813,-0.21645656876384234,1.4354334740929095e-27,9.555981112788713,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
4,Age,18-34,70,30,2643,-0.04904078586780586,0.0034911242346683325,32,-0.05615197322756341,-0.0419295985080483,3.1024610621024876e-15,9.736272688467665,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
4,Age,18-34,70,45,2643,0.17917241131201134,0.0057122950976618465,32,0.16753684695990023,0.19080797566412244,1.335848104187088e-25,9.964485885647477,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
4,Age,18-34,70,60,2643,0.3905637771833952,0.011421268729600755,32,0.36729941408345324,0.41382814028333714,9.099264474548374e-27,10.175877251518866,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
4,Age,18-34,80,20,2643,-0.18235832356598744,0.0047116821563350925,32,-0.19195570605401238,-0.1727609410779625,1.895938988783195e-28,9.602955150769484,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
4,Age,18-34,80,30,2643,0,0,32,0,0,NA,9.785313474335474,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
4,Age,18-34,80,45,2643,0.22095182003856045,0.006704466841778051,32,0.2072952679784201,0.2346083720987008,2.875151213379084e-26,10.006265294374034,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
4,Age,18-34,80,60,2643,0.4223850981514901,0.012397011603500816,32,0.3971332118570575,0.4476369844459227,1.0196297031108577e-26,10.20769857248696,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
4,Age,18-34,90,20,2643,0.19008234684799777,0.01024244752022173,32,0.1692191639754179,0.21094552972057765,1.0861818419771715e-18,9.975395821183477,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
4,Age,18-34,90,30,2643,0.4611299838924124,0.014026942343451644,32,0.43255803732624337,0.4897019304585814,3.1048463395301215e-26,10.246443458227876,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
4,Age,18-34,90,45,2643,0.7827041589513427,0.023818308232982408,32,0.7341878527267706,0.8312204651759149,3.143697915923053e-26,10.5680176332868,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
4,Age,18-34,90,60,2643,1.0627177481539336,0.02978672791916928,32,1.0020441688628037,1.1233913274450635,2.4225362812721703e-27,10.848031222489402,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
5,Age,35-44,70,20,1475,-0.22628117311315402,0.00698855199814681,32,-0.24051638770068398,-0.21204595852562405,4.9800062911713246e-26,9.357841350126538,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
5,Age,35-44,70,30,1475,-0.04633862530474583,0.0027186200640050917,32,-0.05187627316131743,-0.04080097744817422,1.2958914457483823e-17,9.537783897934958,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
5,Age,35-44,70,45,1475,0.1832756975887136,0.008901742180011687,32,0.16514344212736257,0.20140795305006462,5.0275626231329615e-20,9.767398220828424,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
5,Age,35-44,70,60,1475,0.39000986098152246,0.010502142018316203,32,0.3686176977266608,0.4114020242363841,6.920514142232057e-28,9.974132384221226,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
5,Age,35-44,80,20,1475,-0.17909269158399077,0.005638332458541261,32,-0.19057759897030685,-0.1676077841976747,9.038730896878689e-26,9.405029831655717,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
5,Age,35-44,80,30,1475,0,0,32,0,0,NA,9.584122523239705,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
5,Age,35-44,80,45,1475,0.2167644952842886,0.008315755583131133,32,0.19982585546094428,0.2337031351076329,4.0107069225898944e-23,9.800887018523996,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
5,Age,35-44,80,60,1475,0.4125315067737057,0.010506451478958945,32,0.39113056543476854,0.43393244811264287,1.2072081153395113e-28,9.9966540300134,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
5,Age,35-44,90,20,1475,0.1527401621562085,0.01161830588089936,32,0.12907444751288602,0.176405876799531,1.908108544069922e-14,9.736862685395915,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
5,Age,35-44,90,30,1475,0.4127541419239204,0.01656031606843279,32,0.37902188194589154,0.44648640190194927,1.576409220943395e-22,9.996876665163628,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
5,Age,35-44,90,45,1475,0.7086170173324953,0.025055220307483046,32,0.6575812036604444,0.7596528310045462,3.2762798487164076e-24,10.292739540572205,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
5,Age,35-44,90,60,1475,0.9769008273738982,0.032449279614072145,32,0.9108038077567344,1.042997846991062,4.76099954414434e-25,10.56102335061361,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
6,Age,45-64,70,20,3102,-0.28006378889603717,0.007951325943129478,32,-0.29626010983431694,-0.2638674679577574,3.6178914242318395e-27,9.45480118790661,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
6,Age,45-64,70,30,3102,-0.058316200693565426,0.0038285043344266777,32,-0.06611460882794065,-0.0505177925591902,3.225283144265239e-16,9.676548776109062,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
6,Age,45-64,70,45,3102,0.22344452088064312,0.0066428850643758825,32,0.2099134067962428,0.23697563496504345,1.521427084542589e-26,9.958309497683295,9308,55722,102,known_wake_sleep_bounded_nonwear_v3,1d66829fc177b6f02855e7e1f2f2428a
