cutoff,sleep_mean,diff
69.8000,9.6250,2.6723
69.9000,9.6250,2.6723
70.0000,9.6250,2.6723
70.1000,9.5643,2.6116
70.2000,9.5643,2.6116
70.3000,9.5643,2.6116
70.4000,9.5643,2.6116
70.5000,9.5643,2.6116
70.6000,9.5643,2.6116
70.7000,9.5643,2.6116
70.8000,9.5643,2.6116
70.9000,9.5074,2.5547
71.0000,9.5021,2.5495
71.1000,9.5021,2.5495
71.2000,9.5021,2.5495
71.3000,9.5021,2.5495
71.4000,9.5021,2.5495
71.5000,9.5021,2.5495
71.6000,9.5021,2.5495
71.7000,9.4439,2.4913
71.8000,9.4439,2.4913
71.9000,9.4386,2.4860
72.0000,9.4386,2.4860
72.1000,9.4386,2.4860
72.2000,9.4386,2.4860
72.3000,9.4386,2.4860
72.4000,9.4386,2.4860
72.5000,9.4386,2.4860
72.6000,9.3811,2.4285
72.7000,9.3811,2.4285
72.8000,9.3760,2.4233
72.9000,9.3760,2.4233
73.0000,9.3760,2.4233
73.1000,9.3760,2.4233
73.2000,9.3760,2.4233
73.3000,9.3760,2.4233
73.4000,9.3175,2.3649
73.5000,9.3175,2.3649
73.6000,9.3175,2.3649
73.7000,9.3122,2.3595
73.8000,9.3122,2.3595
73.9000,9.3122,2.3595
74.0000,9.3122,2.3595
74.1000,9.3122,2.3595
74.2000,9.2551,2.3025
74.3000,9.2551,2.3025
74.4000,9.2551,2.3025
74.5000,9.2551,2.3025
74.6000,9.2497,2.2971
74.7000,9.2497,2.2971
74.8000,9.2497,2.2971
74.9000,9.2497,2.2971
75.0000,9.2497,2.2971
75.1000,9.1884,2.2358
75.2000,9.1884,2.2358
75.3000,9.1884,2.2358
75.4000,9.1884,2.2358
75.5000,9.1832,2.2306
75.6000,9.1832,2.2306
75.7000,9.1832,2.2306
75.8000,9.1832,2.2306
75.9000,9.1225,2.1698
76.0000,9.1225,2.1698
76.1000,9.1225,2.1698
76.2000,9.1225,2.1698
76.3000,9.1225,2.1698
76.4000,9.1167,2.1641
76.5000,9.1167,2.1641
76.6000,9.1167,2.1641
76.7000,9.0537,2.1010
76.8000,9.0537,2.1010
76.9000,9.0537,2.1010
77.0000,9.0537,2.1010
77.1000,9.0537,2.1010
77.2000,9.0537,2.1010
77.3000,9.0484,2.0957
77.4000,9.0484,2.0957
77.5000,9.0484,2.0957
77.6000,8.9844,2.0317
77.7000,8.9844,2.0317
77.8000,8.9844,2.0317
77.9000,8.9844,2.0317
78.0000,8.9844,2.0317
78.1000,8.9844,2.0317
78.2000,8.9786,2.0260
78.3000,8.9786,2.0260
78.4000,8.9153,1.9626
78.5000,8.9153,1.9626
78.6000,8.9153,1.9626
78.7000,8.9153,1.9626
78.8000,8.9153,1.9626
78.9000,8.9153,1.9626
79.0000,8.9153,1.9626
79.1000,8.9090,1.9563
79.2000,8.8438,1.8911
79.3000,8.8438,1.8911
79.4000,8.8438,1.8911
79.5000,8.8438,1.8911
79.6000,8.8438,1.8911
79.7000,8.8438,1.8911
79.8000,8.8438,1.8911
79.9000,8.8438,1.8911
80.0000,8.8438,1.8911
80.1000,8.7672,1.8145
80.2000,8.7672,1.8145
80.3000,8.7672,1.8145
80.4000,8.7672,1.8145
80.5000,8.7672,1.8145
80.6000,8.7672,1.8145
80.7000,8.7672,1.8145
80.8000,8.7672,1.8145
80.9000,8.6930,1.7404
81.0000,8.6862,1.7335
81.1000,8.6862,1.7335
81.2000,8.6862,1.7335
81.3000,8.6862,1.7335
81.4000,8.6862,1.7335
81.5000,8.6862,1.7335
81.6000,8.6862,1.7335
81.7000,8.6104,1.6578
81.8000,8.6104,1.6578
81.9000,8.6040,1.6514
82.0000,8.6040,1.6514
82.1000,8.6040,1.6514
82.2000,8.6040,1.6514
82.3000,8.6040,1.6514
82.4000,8.6040,1.6514
82.5000,8.6040,1.6514
82.6000,8.5238,1.5712
82.7000,8.5238,1.5712
82.8000,8.5165,1.5638
82.9000,8.5165,1.5638
83.0000,8.5165,1.5638
83.1000,8.5165,1.5638
83.2000,8.5165,1.5638
83.3000,8.5165,1.5638
83.4000,8.4304,1.4778
83.5000,8.4304,1.4778
83.6000,8.4304,1.4778
83.7000,8.4232,1.4705
83.8000,8.4232,1.4705
83.9000,8.4232,1.4705
84.0000,8.4232,1.4705
84.1000,8.4232,1.4705
84.2000,8.3289,1.3763
84.3000,8.3289,1.3763
84.4000,8.3289,1.3763
84.5000,8.3289,1.3763
84.6000,8.3207,1.3680
84.7000,8.3207,1.3680
84.8000,8.3207,1.3680
84.9000,8.3207,1.3680
85.0000,8.3207,1.3680
85.1000,8.2179,1.2652
85.2000,8.2179,1.2652
85.3000,8.2179,1.2652
85.4000,8.2179,1.2652
85.5000,8.2093,1.2566
85.6000,8.2093,1.2566
85.7000,8.2093,1.2566
85.8000,8.2093,1.2566
85.9000,8.0928,1.1401
86.0000,8.0928,1.1401
86.1000,8.0928,1.1401
86.2000,8.0928,1.1401
86.3000,8.0928,1.1401
86.4000,8.0827,1.1301
86.5000,8.0827,1.1301
86.6000,8.0827,1.1301
86.7000,7.9545,1.0019
86.8000,7.9545,1.0019
86.9000,7.9545,1.0019
87.0000,7.9545,1.0019
87.1000,7.9545,1.0019
87.2000,7.9545,1.0019
87.3000,7.9438,0.9911
87.4000,7.9438,0.9911
87.5000,7.9438,0.9911
87.6000,7.8009,0.8482
87.7000,7.8009,0.8482
87.8000,7.8009,0.8482
87.9000,7.8009,0.8482
