subgroup,category,n,measure,mean_hours,lower_95,upper_95
Marital_status,Not applicable,484,est_waking_hours,15.656192155977658,15.32087414488047,15.991510167074846
Marital_status,Not applicable,484,est_nonsedentary_hours,5.8005903926434454,5.515051898643245,6.086128886643646
Marital_status,Refused,3,est_sedentary_hours,13.716883101500931,10.320121790363098,17.113644412638767
Marital_status,Refused,3,est_sleep_hours,7.669639618762089,6.62759102867738,8.711688208846796
Marital_status,Refused,3,est_waking_hours,16.33036038123791,15.2883117911532,17.37240897132262
Marital_status,Refused,3,est_nonsedentary_hours,2.61347727973698,-0.0037295387821214554,5.230684098256081
Marital_status,Separated,291,est_sedentary_hours,9.383455103556999,9.077521867267786,9.689388339846213
Marital_status,Separated,291,est_sleep_hours,7.810458097171558,7.554021454958037,8.066894739385077
Marital_status,Separated,291,est_waking_hours,16.189541902828452,15.933105260614932,16.44597854504197
Marital_status,Separated,291,est_nonsedentary_hours,6.806086799271438,6.467952123408144,7.144221475134732
Marital_status,Widowed,715,est_sedentary_hours,10.37222094239655,10.21653861093398,10.52790327385912
Marital_status,Widowed,715,est_sleep_hours,8.73393998780995,8.58282468470296,8.885055290916942
Marital_status,Widowed,715,est_waking_hours,15.26606001219007,15.11494470908308,15.417175315297062
Marital_status,Widowed,715,est_nonsedentary_hours,4.893839069793527,4.711740914382306,5.075937225204749
